month,mm,oc,rh,lv
Mar-21,110.9,9,63,서울
Apr-21,124.1,14.2,54,서울
May-21,183.1,17.1,68,서울
Jun-21,104.6,22.8,73,서울
Jul-21,168.3,28.1,71,서울
Aug-21,211.2,25.9,74,서울
Sep-21,131,22.6,71,서울
Oct-21,57,15.6,70,서울
Nov-21,62.4,8.2,68,서울
Dec-21,7.9,0.6,62,서울
Jan-22,5.5,-2.2,55,서울
Feb-22,4.7,-1.1,55,서울
Mar-22,102.6,7.7,62,서울
Apr-22,20.4,14.8,55,서울
May-22,7.5,19.1,55,서울
,,,,
